input_text,target_text
6/20/1994,1994-06-20
2029-10-11,2029-10-11
1995/9,1995-09-17
11th of December 2022,2022-12-11
5/24/2010,2010-05-24
2032-6-3,2032-06-03
ngày 13 tháng 1 năm 1992,1992-01-13
9/18/98,1998-09-18
2010/5,2010-05-03
Jan 4 35,2035-01-04
"February 7, 2015",2015-02-07
20/2/27,2027-02-20
22/7/09,2009-07-22
4 Sep 2027,2027-09-04
25/5-1993,1993-05-25
7-22-91,1991-07-22
17/6/99,1999-06-17
"July 28, 2035",2035-07-28
18/4-1997,1997-04-18
2012/4/11,2012-04-11
2031-11-25,2031-11-25
2-12-2004,2004-12-01
1/8-2015,2015-08-01
28:8:2023,2023-08-28
13th of May 2002,2002-05-13
14/1/15,2015-01-14
6Sep1997,1997-09-06
16 tháng 11 năm 2034,2034-11-16
"Jan 19th, 2031",2031-01-19
5th of February 1990,1990-02-05
11/8/93,1993-11-08
8-4,2002-04-08
2022/2/8,2022-02-08
18-11,2004-11-18
44-5-1998,1998-05-22
2006-9-12,2006-09-12
9th of September 1995,1995-09-09
3/9-1999,1999-09-03
18-6,2027-06-18
2/5/2024,2024-02-05
27 tháng 11 năm 2030,2030-11-27
Jul 10 90,1990-07-10
12/14/12,2012-12-14
20072006,2006-07-20
1990/8/5,1990-08-05
2019/9/21,2019-09-21
28th of November 2024,2024-11-28
10-3,2029-03-10
6/3/22,2022-03-06
11-17-35,2035-11-17
20062007,2007-06-20
Jan 3 96,1996-01-03
4:6:2023,2023-06-04
8/2-2029,2029-02-08
17/10/28,2028-10-17
12/10/08,2008-10-12
4/21/2019,2019-07-04
21 April 1991,1991-04-21
11/25/2030,2030-11-25
7-2-99,1999-07-02
4/14-2022,2022-07-04
2007/9,2007-09-03
14.12.2002,2002-12-14
1 Jan 2014,2014-01-01
4 October 2023,2023-10-04
8/12/2030,2030-08-12
11/9-2010,2010-09-11
27/7-2006,2006-07-27
4/14/24,2024-04-14
7/5/20,2020-05-07
2009/7/16,2009-07-16
7/26/94,1994-07-26
2 Ap 2023,2023-04-02
7/6-2018,2018-06-07
16:5:2001,2001-05-16
26/3-2002,2002-03-26
19 tháng 11 năm 1997,1997-11-19
2-17-00,2000-02-17
7th of July 2034,2034-07-07
27 Dec 2017,2017-12-27
"March 7, 2018",2018-03-07
2 Oc 2025,2025-10-02
"Oct 14th, 2016",2016-10-14
14-3-2022,2022-03-14
20/12-2034,2034-06-20
4 Mar 1995,1995-03-04
22 October 2030,2030-10-22
08111999,1999-11-08
10/6/33,2033-06-10
09122035,2035-12-09
24/9/00,2000-09-24
21th of May 2016,2016-05-21
Jan 27 25,2025-01-27
10/9-2007,2007-09-10
10-2-2034,2034-02-05
1-25-00,2000-01-25
23/1/06,2006-01-23
1/10-2007,2007-05-01
09112028,2028-11-09
2/9/2018,2018-09-02
15/15/2021,2021-05-15
11Oct2025,2025-10-11
9.7.1999,1999-07-09
2032/2/24,2032-02-24
12 Sep 2017,2017-09-12
9:5:1995,1995-05-09
9Sep2015,2015-09-09
5-8-2025,2025-08-05
48-2-2022,2022-02-24
1 October 2018,2018-10-01
Oct 20 11,2011-10-20
7/3-1993,1993-03-07
11-14-33,2033-11-14
2/4/05,2005-02-04
28-2,1999-02-28
28/1/11,2011-01-28
26/4-2028,2028-02-26
Oct 24 09,2009-10-24
10-1-2032,2032-01-05
10.9.1999,1999-09-10
14/11/15,2015-11-14
1997/4,1997-04-03
28/6/1994,1994-06-28
26 Nov 2022,2022-11-26
2022/1/10,2022-01-10
1991-3-15,1991-03-15
9/9-2005,2005-09-09
"Mar 4th, 1991",1991-03-04
2012/5/17,2012-05-17
27/1/97,1997-01-27
44-2-2013,2013-02-22
2003/9/15,2003-09-15
26/6-2021,2021-06-26
"Jun 25th, 2000",2000-06-25
13/2/05,2005-02-13
20/4/2016,2016-04-20
"Sep 16th, 2023",2023-09-16
9/6/1992,1992-06-09
1/4/1993,1993-01-04
5th of December 2009,2009-12-05
10-8-2019,2019-08-10
18:5:2001,2001-05-18
"Jan 15th, 1992",1992-01-15
12/9/2015,2015-09-12
10:10:2026,2026-10-10
2/10/24,2024-10-02
"Oct 28th, 2006",2006-10-28
26/6/29,2029-06-26
ngày 14 tháng 2 năm 2008,2008-02-14
18 Feb 2030,2030-02-18
11th of February 2028,2028-02-11
2004/9,2004-09-01
23-4-2035,2035-04-23
12 Ap 1994,1994-04-12
28 Oc 2015,2015-10-28
14Jun1998,1998-06-14
6/1/26,2026-06-01
2/7/2001,2001-07-02
3/2/01,2001-03-02
1/8-2016,2016-04-01
5 June 2020,2020-06-05
7:8:1997,1997-08-07
3Aug2006,2006-08-03
12041990,1990-04-12
