input_text,target_text
6 April 2007,2007-04-06
30 tháng 8 năm 1997,1997-08-30
18/10-2021,2021-05-18
2025-02-12T07:39:26.577Z,2025-02-12
31 8 1995,1995-08-31
The system recorded 20190715081850,2019-07-15
2014_03_01T11_11_59-05:00,2014-03-01
16-7-2014,2014-07-16
30/20-1999,1999-10-30
1348592400000,2012-09-26
9 March 2003,2003-03-09
2031-06-15T19:26:11,2031-06-15
19980721090008415606,1998-07-21
20171007145401378,2017-10-07
21.10.2003,2003-10-21
11/18-2007,2007-09-11
3 tháng 10 năm 2032,2032-10-03
29.1.2031T8-4-29,2031-01-29
2016-07-28T23:45:44.619Z,2016-07-28
1889542800,2029-11-17
4 Feb 1997,1997-02-04
29.3.2006T9-6-44,2006-03-29
15 January 2035,2035-01-15
9/2/2023 giờ 23:38:34,2023-02-09
2026-12-06T09:01:37Z+3,2026-12-06
Event at 1992-06-15T11:54:31,1992-06-15
Ngày 6-5-2009,2009-05-06
20211221134815708754,2021-12-21
17.8.2005T14-46-4,2005-08-17
05-06-2000,2000-05-06
Sự kiện diễn ra vào 22/5/2028 7:26,2028-05-22
20020702100029336305248,2002-07-02
23/10-1995,1995-05-23
4 tháng 4 năm 1994,1994-04-04
2012-10-27T14:14:58.329778Z,2012-10-27
24.3.2010T21-31-56,2010-03-24
18 November 2008,2008-11-18
2025-08-26T23:55:01,2025-08-26
20061123180103547000217,2006-11-23
2023_12_28T3_29_20+2500,2023-12-28
1995-11-14T02:49:23,1995-11-14
The system recorded 20190527204043,2019-05-27
1164646800000000,2006-11-28
"May 21, 1998",1998-05-21
959533200,2000-05-29
"June 20, 2035",2035-06-20
2004-12-24T06:15:01.120273Z,2004-12-24
920307600000000,1999-03-02
15/16-2008,2008-08-15
ngày 9 tháng 6 năm 1993,1993-06-09
08_28_1990,1990-08-28
1995/5/8T03246,1995-05-08
2028/9/4T142027,2028-09-04
Ngày 7-1-2003,2003-01-07
2004-12-11T22:28:13.571566657Z,2004-12-11
17_11_2000,2000-11-17
6-6-2023,2023-06-06
10/28/2001,2001-10-28
6-1-2012,2012-01-03
2035-02-19T03:08:55,2035-02-19
2027-01-17T17:19:14.435Z,2027-01-17
2032-07-27T12:04:32+2500,2032-07-27
1597770000000000,2020-08-19
1573664400000000,2019-11-14
8 October 2028,2028-10-08
36-3-2026,2026-03-18
20140120204521,2014-01-20
Sự kiện diễn ra vào 16/8/1997 0:3,1997-08-16
28 11 03,2003-11-28
21.9.1993T13-30-44,1993-09-21
Event at 2000-12-14T18:57:19,2000-12-14
"19th of November, 2003",2003-11-19
20060503135620766669,2006-05-03
698864400000,1992-02-24
2007/06/23,2007-06-23
07/22/2034,2034-07-22
20090626165823,2009-06-26
19 March 1991,1991-03-19
882378000000000,1997-12-18
Sự kiện diễn ra vào 15/8/2016 20:20,2016-08-15
1994-05-17T15:50:03.495Z,1994-05-17
1994-01-21T06:22:56,1994-01-21
20220401003523094,2022-04-01
20 tháng 7 năm 2004,2004-07-20
The system recorded 20120326001657,2012-03-26
31/24-2014,2014-12-31
24.7.2030,2030-07-24
Event at 2030-09-05T6:21:59,2030-09-05
ngày 9 tháng 2 năm 2002,2002-02-09
20171102165321,2017-11-02
15/20-2030,2030-10-15
6-7-1999,1999-07-06
Event at 2009-06-22T13:10:3,2009-06-22
Sự kiện diễn ra vào 18/5/1997 3:2,1997-05-18
19 February 1991,1991-02-19
4 2 2026,2026-02-04
2019/9/23T13044,2019-09-23
42-10-2003,2003-10-21
20050719043627532,2005-07-19
2011-12-10T12:27:48Z+3,2011-12-10
2030-07-31,2030-07-31
21-1-2033,2033-01-21
2071328400,2035-08-22
12-06-09,2009-06-12
2003_10_09T8_30_16+07:00,2003-10-09
60-8-2024,2024-08-30
2014/3/22T8310,2014-03-22
10|06|2031,2031-10-06
2000/4/18T14445,2000-04-18
2005_11_09T22_53_35Z+3,2005-11-09
1859907600000000,2028-12-09
12 Mar 2007,2007-03-12
Event at 2025-05-17T3:5:9,2025-05-17
01|04|1995,1995-01-04
38-1-2017,2017-01-19
2022-08-01T17:27:41.276720473Z,2022-08-01
20130524053211838996166,2013-05-24
19930704091956,1993-07-04
20060731042000138327,2006-07-31
20250517180942,2025-05-17
19.1.2029T14-57-27,2029-01-19
2017_11_11T1_6_2-05:00,2017-11-11
10/12-2026,2026-06-10
12.09.30,2030-09-12
29|4|2018,2018-04-29
05/01/10,2010-01-05
2001-08-29T14:05:16Z+3,2001-08-29
02 02 34,2034-02-02
8-6-2015,2015-06-04
2005-07-25T00:23:32+2500,2005-07-25
15/03/06,2006-03-15
09_06_21,2021-06-09
1182877200000,2007-06-27
02.16.2001,2001-02-16
"7th of November, 1998",1998-11-07
20090521053808227,2009-05-21
1992-07-09T09:07:31Z+3,1992-07-09
2026/3/13T182742,2026-03-13
19/4-2027,2027-02-19
26-5-2019,2019-05-13
1999-08-19T06:45:56.609082372Z,1999-08-19
1 August 2004,2004-08-01
2000-04-03T04:37:51+2500,2000-04-03
2021_11_23T4_29_3+00:00,2021-11-23
The system recorded 20250526031856,2025-05-26
19970807054340817561677,1997-08-07
20140320135405,2014-03-20
2010-08-29T14:43:37Z+3,2010-08-29
"March 14, 2001",2001-03-14
20000329112934643411278,2000-03-29
16/8/2026 giờ 2:53:11,2026-08-16
The system recorded 19921020012948,1992-10-20
2032-11-25T02:14:50+0500,2032-11-25
20320824105308828421246,2032-08-24
30 Mar 1990,1990-03-30
2030-04-27T10:25:20,2030-04-27
1991/10/25T153824,1991-10-25
7|5|2033,2033-05-07
Ngày 2-4-2000,2000-04-02
23.10.2019T21-13-41,2019-10-23
Ngày 15-8-1993,1993-08-15
2008-10-30T15:06:44.921355851Z,2008-10-30
16-11-2014,2014-11-16
2011-03-23T22:46:36.046680697Z,2011-03-23
"February 5, 2021",2021-02-05
Event at 2013-06-17T3:9:21,2013-06-17
6/10/1990 giờ 17:34:22,1990-10-06
20190326091921,2019-03-26
2018-07-15T22:36:44+2500,2018-07-15
25/07/91,1991-07-25
Event at 1996-06-23T2:56:27,1996-06-23
5 tháng 9 năm 1991,1991-09-05
2021_03_22T11_58_27Z,2021-03-22
2005-12-13T01:38:18-05:00,2005-12-13
2018-10-01T15:43:58+2500,2018-10-01
20100722154634280,2010-07-22
"January 7, 1999",1999-01-07
20140518224632419765849,2014-05-18
17 tháng 10 năm 2024,2024-10-17
2002-08-02T14:30:23,2002-08-02
Ngày 16-12-2025,2025-12-16
2027_12_01,2027-12-01
16-4-2022,2022-04-16
2023-03-06T09:45:49,2023-03-06
ngày 13 tháng 4 năm 2012,2012-04-13
19960628150420577571,1996-06-28
9 tháng 2 năm 2010,2010-02-09
2006-03-30T16:35:28.538248682Z,2006-03-30
1249578000000000,2009-08-07
20110728200228083383555,2011-07-28
Sự kiện diễn ra vào 25/6/1993 8:39,1993-06-25
01_04_05,2005-04-01
2010-04-23T13:54:32-05:00,2010-04-23
12.03.2020,2020-12-03
1469034000000,2016-07-21
06|10|2032,2032-06-10
"August 25, 1998",1998-08-25
1577120400000000,2019-12-24
20090825020124623,2009-08-25
2012576400000,2033-10-11
2004/10/6T22321,2004-10-06
23 tháng 12 năm 2035,2035-12-23
The system recorded 19960529013838,1996-05-29
891882000,1998-04-07
24 tháng 3 năm 1993,1993-03-24
18/7/2019 giờ 11:34:25,2019-07-18
2034-01-29T01:16:39+07:00,2034-01-29
ngày 2 tháng 10 năm 2022,2022-10-02
1-8-2021,2021-08-01
1995901200,2033-04-01
2025-03-08T00:33:43Z,2025-03-08
Ngày 3-12-2004,2004-12-03
Event at 2015-06-30T3:50:5,2015-06-30
ngày 6 tháng 11 năm 2027,2027-11-06
1997-05-13T23:20:53.457Z,1997-05-13
05_18_2008,2008-05-18
2021/9/8T10219,2021-09-08
1998-07-13,1998-07-13
The system recorded 20250123115623,2025-01-23
2024-02-18T10:27:41.754Z,2024-02-18
2026-04-28T12:52:17,2026-04-28
13/7/2006 giờ 2:4:59,2006-07-13
20140212181815239,2014-02-12
2009/12/16T18284,2009-12-16
2028-12-06T05:49:51.335766Z,2028-12-06
1991-05-28T03:10:09Z+3,1991-05-28
14 Apr 2023,2023-04-14
2012-10-13T20:01:15.543448Z,2012-10-13
2026-06-06T21:51:04.369Z,2026-06-06
20040118011740837,2004-01-18
19920724121135602133118,1992-07-24
38-10-2009,2009-10-19
20050909002143951,2005-09-09
1992-01-10T17:16:25-0300,1992-01-10
17 January 1997,1997-01-17
2013-10-25T10:11:49Z+3,2013-10-25
20150915015151445288665,2015-09-15
20080723215138852280,2008-07-23
1554397200,2019-04-05
Ngày 31-1-2019,2019-01-31
The system recorded 20080517021316,2008-05-17
16.10.2017T7-41-35,2017-10-16
24-5-2033,2033-05-24
25 tháng 2 năm 2022,2022-02-25
Event at 1991-11-25T8:1:5,1991-11-25
29 April 1997,1997-04-29
12-6-2001,2001-06-06
17.12.2022T13-30-37,2022-12-17
Event at 2029-02-22T15:28:33,2029-02-22
2007-11-15T01:05:52Z+3,2007-11-15
Event at 2021-11-12T16:36:4,2021-11-12
1340298000000000,2012-06-22
31 tháng 3 năm 2032,2032-03-31
20280804074339355909,2028-08-04
16/04/08,2008-04-16
2001_06_22T2_17_17+00:00,2001-06-22
18/11/2034,2034-11-18
2002-06-21T23:20:04.157341424Z,2002-06-21
2032-01-19T10:33:26+00:00,2032-01-19
2024-06-10T14:14:27.315524Z,2024-06-10
"8th of March, 2030",2030-03-08
1621789200000000,2021-05-24
2032-10-26T07:03:35.858485770Z,2032-10-26
20.9.2032,2032-09-20
20150331113405811670900,2015-03-31
14 June 2018,2018-06-14
20 May 2033,2033-05-20
2005-12-26T02:40:59.427181Z,2005-12-26
19980306211620778867141,1998-03-06
"5th of April, 2021",2021-04-05
09.08.07,2007-08-09
28 Dec 2035,2035-12-28
Ngày 4-3-1995,1995-03-04
28/4/1996 giờ 5:3:26,1996-04-28
2/3/2028 giờ 22:13:27,2028-03-02
1991/5/2T10333,1991-05-02
"June 19, 1993",1993-06-19
1991-07-27T14:54:44+0500,1991-07-27
2014-03-28T05:25:36,2014-03-28
2004-10-10T02:32:31,2004-10-10
27/4/2006 giờ 1:47:39,2006-04-27
1034355600000000000,2002-10-12
18-1-2030,2030-01-09
2023-07-20T15:40:27+2500,2023-07-20
03 15 2028,2028-03-15
21/18-1992,1992-09-21
