input_text,target_text
8Apr1996,1996-04-08
2026/9/3,2026-09-03
28/10/94,1994-10-28
"February 1, 1993",1993-02-01
2010/4/7,2010-04-07
10/15/2027,2027-10-15
4/7/06,2006-07-04
11/23/93,1993-11-23
14Mar1992,1992-03-14
7/6/92,1992-07-06
27:3:2026,2026-03-27
28/9/07,2007-09-28
"June 27, 2006",2006-06-27
5.3.2034,2034-03-05
18/4/25,2025-04-18
19-9-1997,1997-09-19
23/4-2020,2020-04-23
6/6/30,2030-06-06
12 January 2027,2027-01-12
12 Ju 2015,2015-07-12
2017/12/14,2017-12-14
2/6-2028,2028-06-02
15.1.2023,2023-01-15
7-5-97,1997-07-05
Nov 25 09,2009-11-25
23 January 2029,2029-01-23
14th of August 2016,2016-08-14
2018/12/4,2018-12-04
5/14-2000,2000-07-05
ngày 21 tháng 2 năm 2013,2013-02-21
9/12/2027,2027-04-09
"Sep 8th, 1993",1993-09-08
ngày 18 tháng 8 năm 2018,2018-08-18
27-4,2028-04-27
24/2-2032,2032-02-24
2Apr2002,2002-04-02
22May1991,1991-05-22
6/1-2015,2015-01-06
2022/4/4,2022-04-04
19 Jul 1997,1997-07-19
ngày 20 tháng 3 năm 2006,2006-03-20
8/12/06,2006-08-12
10th of February 2021,2021-02-10
"Mar 10th, 2023",2023-03-10
4 tháng 9 năm 2023,2023-09-04
25/9-2022,2022-09-25
17/10-2017,2017-10-17
Mar 18 32,2032-03-18
12/21/2002,2002-07-12
"Apr 23th, 2027",2027-04-23
01061992,1992-06-01
26 Jul 2007,2007-07-26
4/7-2025,2025-07-04
"Jan 8th, 2008",2008-01-08
11 tháng 6 năm 2019,2019-06-11
21 Se 2008,2008-09-21
28/9/2032,2032-09-28
2006/1,2006-01-09
18022031,2031-02-18
1/36/2022,2022-12-01
May 16 95,1995-05-16
22112027,2027-11-22
1-3-1991,1991-03-01
9 Jul 2004,2004-07-09
25-3,2019-03-25
"Mar 2nd, 2033",2033-03-02
ngày 22 tháng 4 năm 2023,2023-04-22
25-8-2020,2020-08-25
18/8/04,2004-08-18
"Oct 18th, 2028",2028-10-18
24-3-1992,1992-03-24
1991/1/16,1991-01-16
"July 19, 2034",2034-07-19
1-14-25,2025-01-14
ngày 26 tháng 9 năm 2012,2012-09-26
20th of May 2021,2021-05-20
2031/3,2031-03-09
7/36/2016,2016-12-07
2 tháng 1 năm 2000,2000-01-02
13/11/14,2014-11-13
5-12-2017,2017-12-05
2029-3-2,2029-03-02
10 Apr 2011,2011-04-10
10 tháng 3 năm 2028,2028-03-10
7:10:1998,1998-10-07
17-7-2019,2019-07-17
16.2.2021,2021-02-16
6/2-2011,2011-02-06
ngày 14 tháng 7 năm 2006,2006-07-14
3-11,2019-11-03
2014/4/15,2014-04-15
22-12,2021-12-22
Feb 24 05,2005-02-24
14Mar2018,2018-03-14
19/22-2030,2030-11-19
ngày 18 tháng 2 năm 2018,2018-02-18
14/1-2018,2018-01-14
"July 8, 2032",2032-07-08
02062000,2000-06-02
13 Ma 2014,2014-05-13
23Mar2019,2019-03-23
3/5/2023,2023-05-03
ngày 22 tháng 12 năm 2029,2029-12-22
16 De 2035,2035-12-16
16 Ma 2012,2012-05-16
